Experiment,Vectorizer,Accuracy,Precision,Recall,F1,Features,Feature Time (s),Training Time (s)
Baseline,tfidf,0.9198907792480572,0.9257997507270461,0.9165844027640672,0.9198697106834397,477076,52.85256841592491,0.09315358311869204
Unigrams Only,tfidf,0.8989287964713295,0.9009705543674946,0.9011187890753537,0.898882566328855,70042,19.047289041103795,0.04010670795105398
Alpha=0.1,tfidf,0.9303507666456626,0.9284198498204375,0.9357518920697598,0.9303060475154847,477076,53.411380749894306,0.07620949996635318
Alpha=0.5,tfidf,0.9234614576769586,0.9257580751483191,0.9242349457058243,0.9234294109604269,477076,50.89228954189457,0.08943129098042846
Alpha=2.0,tfidf,0.9154379332073094,0.9252830188679245,0.9076999012833169,0.915426564377484,477076,51.82105545909144,0.07342245802283287
Removed source names,tfidf,0.8933837429111531,0.8893927125506073,0.9035867061533399,0.8932912092250346,475888,57.1788120418787,0.07621791679412127
Baseline,count,0.9277462717916404,0.9385611027063372,0.9186410003290556,0.9277383655496478,477076,48.40500966599211,0.07805266720242798
Unigrams Only,count,0.9083805923125394,0.9136601144563324,0.9062191510365252,0.9083536708264988,70042,16.659108916996047,0.03690120787359774
Alpha=0.1,count,0.9394664986347406,0.9478391707765611,0.9327903915761764,0.9394559646110978,477076,48.62906425003894,0.08747733384370804
